text,prediction,probab_0,probab_1
"simplistic , silly and tedious .",1,0.017111875116825104,0.9828881025314331
"it's so laddish and juvenile , only teenage boys could possibly find it funny .",1,0.02002696879208088,0.9799730181694031
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,1,0.0043943412601947784,0.9956056475639343
"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",1,0.007017853669822216,0.9929821491241455
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,1,0.008927974849939346,0.9910719990730286
"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",1,0.003522094339132309,0.9964779019355774
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,1,0.003262423211708665,0.996737539768219
not so much farcical as sour .,1,0.003883782774209976,0.9961161613464355
unfortunately the story and the actors are served with a hack script .,1,0.006553133018314838,0.9934468865394592
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",1,0.003696387866511941,0.9963035583496094
a sentimental mess that never rings true .,1,0.035696014761924744,0.9643040299415588
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",1,0.009642827324569225,0.9903571009635925
"interesting , but not compelling .",0,0.9869593977928162,0.013040642254054546
"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",1,0.004149060230702162,0.9958509206771851
"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .",1,0.009787734597921371,0.9902122616767883
there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,1,0.02739851363003254,0.9726014733314514
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",1,0.005303458776324987,0.9946964979171753
"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !",1,0.33646970987319946,0.6635303497314453
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",1,0.003980045206844807,0.9960200190544128
this 100-minute movie only has about 25 minutes of decent material .,1,0.003370561869814992,0.9966294169425964
the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,1,0.0867595300078392,0.9132404923439026
"on its own , it's not very interesting . as a remake , it's a pale imitation .",1,0.00949123501777649,0.9905087947845459
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,1,0.3484521508216858,0.6515478491783142
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",0,0.8492165803909302,0.15078340470790863
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .",1,0.028391357511281967,0.9716086983680725
the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,1,0.015362773090600967,0.9846372008323669
our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender ó and i know this because i've seen 'jackass : the movie . ',1,0.0031589276622980833,0.9968410730361938
"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",1,0.004756843205541372,0.9952431321144104
"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .",1,0.003941401839256287,0.9960585832595825
"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",1,0.0024869448971003294,0.9975130558013916
"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0,0.8397493958473206,0.16025052964687347
the action clichÈs just pile up .,1,0.0031094781588763,0.9968904852867126
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",1,0.00840613804757595,0.9915938377380371
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,1,0.010606315918266773,0.9893937110900879
another useless recycling of a brutal mid-'70s american sports movie .,1,0.003949555568397045,0.9960504174232483
i didn't laugh . i didn't smile . i survived .,1,0.007233975920826197,0.9927660226821899
"please , someone , stop eric schaeffer before he makes another film .",1,0.04707411304116249,0.9529259204864502
"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",1,0.007437931839376688,0.9925621151924133
". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",1,0.005186031572520733,0.9948140382766724
curling may be a unique sport but men with brooms is distinctly ordinary .,0,0.9555637836456299,0.04443620890378952
"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",1,0.0040963031351566315,0.9959036707878113
there's no getting around the fact that this is revenge of the nerds revisited -- again .,1,0.0028728407341986895,0.997127115726471
"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",0,0.9260696172714233,0.07393039762973785
"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",1,0.003875534515827894,0.9961244463920593
"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",1,0.0037022405304014683,0.9962977766990662
"stinks from start to finish , like a wet burlap sack of gloom .",1,0.003961152397096157,0.9960387945175171
"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",1,0.004591692239046097,0.9954082369804382
